index,cleaned,document_link,abstract,all_authors,pdf_path,title,publisher,year_published,volume,date_uploaded,keywords,start,end,,,,,,,,,
980,T,http://lenr-canr.org/acrobat/DairakuTstudiesofn.pdf,"In order to find the signature of multi-body fusion, experiments of ion-beam implantation were carried out using titanium deuteride target made by the gas-loading method. Up to now, charged particles that are not known in the ordinary beam-target interaction have been observed in the experiment.","Dairaku, T.; Katayama, Y.; Hayashi, T.; Isobe, Y.; Takahashi, A.",DairakuTstudiesofn.pdf,Studies of nuclear-reactions-in-solid in titanium deuteride under ion implantation,"The 9th International Conference on Cold Fusion, Condensed Matter Nuclear Science","2,002",1,2005-01-19,"ICCF-9, Ti, ion bombardment, D+, multibody, theory",,,,,,,,,,,
982,T,http://lenr-canr.org/acrobat/NEDOthesixthin.pdf#page=376,"The phenomena of nuclear fusion at normal temperature have been studied using a gas discharge facility and about 10^4 neutrons per second have been detected. The neutron yield is controllable and reproduceable. The BF 3 neutron detectors, the 6Li thermoluminescence films, the NE-213 organic liquid scintillation neutron spectrometer and the n-gamma discrimination technique were used to diagnose the neutrons. It was confirmed that neutrons were emitted from the gas discharge facility.There were some non beam-target neutrons among these neutrons, especially when the discharge voltages was low (<7kV).","Dalun, W.; Suhe, C.; Yijiu, L.; Rong, L.; Mei, W.; Yibei, F.; Xinwei, Z.; Wushou, Z.",NEDOthesixthin.pdf,Diagnosis of Neutrons from the Gas Discharge Facility,"Sixth International Conference on Cold Fusion, Progress in New Hydrogen Energy","1,996",1,2018-11-29,"neutron, gas discharge ICCF-6",376,379,,,,,,,,,
983,T,http://lenr-canr.org/acrobat/ENECOtheseventh.pdf#page=447,"In many experimental papers concerning experiments of loading certain metals like nickel, palladium with hydrogen isotopes low radiation levels have been reported. A simple model to describe the energy fluctuation of a deuteron trapped in a lattice, considering elastic collisions in one dimension with the ions is presented. The energy fluctuations, combined with the increase of the Coulomb barrier penetration probability produced by the electron screening effect, might lead to a very small and unsteady rate of low energy nuclear reactions produced by the hydrogen isotopes in condensed matter.","Dan, C.",ENECOtheseventh.pdf,The Role of the Energy Fluctuations in the Possibility of Nuclear Reactions in Condensed Matter,The Seventh International Conference on Cold Fusion,"1,998",1,2018-11-26,"theory, ICCF-7",447,454,,,,,,,,,
990,T,http://lenr-canr.org/acrobat/DardikIintensific.pdf,"Energetics Technologies (ET) was recently established to investigate possibilities for inducing Low Energy Nuclear Reactions (LENR) using special wave excitation. Four experimental approaches are being pursued: electrolysis, glow-discharge, gas loading in catalyst cells and high-pressure high-temperature cell with ultrasonic wave excitation. The experimental setups developed by ET are described along with preliminary results obtained. A significant amount of excess heat was measured in the first glow discharge experiment. The power generated during the experiment was up to 3.9 times the input power. When driven with waves the excess heat was higher than when driven with DC. A significant amount of excess heat was also measured after the shutdown of the glow discharge; it lasted for approximately 10 hours. The total excess energy generated is estimated to be 6.7 times the input energy. The ""heat-after-death"" phenomenon was also observed in another glow discharge experiment. Excess heat up to approximately 80% was measured over a period of over 3 months in yet another glow discharge experiment. Driving the electrolytic cells with waves resulted in a faster loading than when driving them with DC of the same average current. The tritium concentration in the electrolyte measured at the end of the experiments was found to be up to more than 100% the pre-experiment level. No excess heat was measured, so far, in the catalyst cells. Successful loading of Pd target with D was obtained in the high-pressure high-temperature gas cell without going through the alpha+beta phase of the Pd-D system.","Dardik, I.; Branover, H.; El-Boher, A.; Gazit, D.; Golbreich, E.; Greenspan, E.; Kapusta, A.; Khachatorov, B.; Krakov, V.; Lesin, S.; Michailovitch, B.; Shani, G.; Zilov, T.",DardikIintensific.pdf,Intensification Of Low Energy Nuclear Reactions Using Superwave Excitation,Tenth International Conference on Cold Fusion,"2,003",,2004-07-01,"excess heat, electrolysis, glow discharge",,,,,,,,,,,
995,T,http://lenr-canr.org/acrobat/DardikIultrasonic.pdf,"Three electrolysis cells with built-in ultrasonic transmitters were developed by Energetics Technologies. The ultrasonic transmitters induce cavitation in the electrolyte in the vicinity of the palladium cathode for in-situ cleaning and activation of the cathode surface, generation of dislocations, assistance in loading and excitation of the Pd-D system. The ultrasonically assisted electrolysis cells are described and excess heat generating experiments using these cells are illustrated. All of these experiments used the Dardik?s modified SuperWaves to drive the electrolysis. The reproducibility of excess heat generation obtained using the ultrasonically assisted electrolysis experiments approaches 80%, which is the highest of all types of electrolysis experiments performed at Energetics Technologies.","Dardik, I.; Zilov, T.; Branover, H.; El-Boher, A.; Greenspan, E.; Khachatorov, B.; Krakov, V.; Lesin, S.; Shapiro, A.; Tsirlin, M.",DardikIultrasonic.pdf,Ultrasonically-excited electrolysis Experiments at Energetics Technologies,ICCF-14 International Conference on Condensed Matter Nuclear Science,"2,008",,2009-07-02,"ultrasonic, heat, review",,,,,,,,,,,
996,T,http://lenr-canr.org/acrobat/ViolanteVproceedinga.pdf#page=124,"Energetics Technologies has had excellent reproducibility of its own experimental results on cold fusion; significantly, its work has been replicated at independent laboratories, at SRI and ENEA. We believe that one of the most important reasons for these results is the use t of complex fractally nested current excitation From this perspective, these results in replicating the production of excess heat are a further confirmation that natural phenomena, including the electrochemical processes for producing excess of heat, can be correctly described by these fractal dynamics. . In this paper I describe basic concepts of the SuperWaves? theory, which is an original general approach to model and understand natural phenomena.","Dardik, I.",ViolanteVproceedinga.pdf,SuperWaves (TM) as the Natural Origin of Excess Heat,15th International Conference on Condensed Matter Nuclear Science,"2,009",,2013-08-05,,124,128,,,,,,,,,
"1,002",T,http://lenr-canr.org/acrobat/DashJmicroanaly.pdf,ABSTRACT The morphology and microcomposition of palladium after electrolysis in heavy water were studied. Fibers which appeared on the surface were observed to change with time. Evidence which supports the possibility of transmutation is presented.,"Dash, J.; Miguet, S.",DashJmicroanaly.pdf,Microanalysis of Pd Cathodes after Electrolysis in Aqueous Acids,J. New Energy,"1,996",1,2003-03-21,"transmutation,, Pd, electrolysis,, D2O,, surface analysis",,,,,,,,,,,
"1,003",T,http://lenr-canr.org/acrobat/NEDOthesixthina.pdf#page=76,"Preliminary mass spectrometer analysis showed that a palladium foil which had been electrolyzed for 12 minutes had greater abundance ofPd108 than Pdl06, whereas the unelectrolyzed control showed the reverse, expected natural abundances.After about 20 hours of electrolysis, a Pd cathode produced excess heat at the rate of about 5 watts per gram. After about 70 hours of electrolysis. the Pd electrode no longer produced excess heat, but a Pt cathode began to produce excess heat. Similar localized concentrations of unexpected elements were found on both the Pd and the Pt cathodes.","Dash, J.",NEDOthesixthina.pdf,Chemical changes and excess heat caused by electrolysis with H2SO4-D2O electrolyte,"Sixth International Conference on Cold Fusion, Progress in New Hydrogen Energy","1,996",2,2018-11-30,excess heat,76,80,,,,,,,,,
"1,004",T,http://lenr-canr.org/acrobat/DashJexcessheat.pdf,"ABSTRACT Presented here are results of research performed at Portland State University during the period 1994 to 1996. Excess heat was produced at the rate of about 1.2 watts during electrolysis of heavy water with a titanium cathode weighing 0.0625g. Analysis of the electrodes before and after electrolysis with a scanning electron microscopy (SEM) and an energy dispersive spectrometer (EDS) revealed that new surface topographical features with concentrations of unexpected elements (V, Cr, Fe, Ni, and Zn) formed during electrolysis. The morphology and microcomposition of palladium after electrolysis in heavy water were studied. Fibers which appeared on the surface were observed to change with time. Evidence which supports the possibility of transmutation is presented.","Dash, J.; Kopecek, R.; Miguet, S.",DashJexcessheat.pdf,Excess Heat and Unexpected Elements from Aqueous Electrolysis with Titanium and Palladium Cathodes,32nd Intersociety Energy Conversion Engineering Conference,"1,997",2,2002-11-26,"Excess heat, transmutation",,,,,,,,,,,
"1,005",T,http://lenr-canr.org/acrobat/DashJinteractio.pdf,"Attempts to achieve low temperature nuclear fusion can be traced to the work of Paneth, Peters, and Tanberg in 1927. Martin Fleischmann, who in his early career was a colleague of Paneth, teamed with Stanley Pons at the University of Utah to pursue this goal by the electrolysis of heaNy water with a palladium cathode. Palladium is a metalwhich strongly absorbs hydrogen isotopes. The question they sought to answer was whether the internal pressure generated by this absorption would be sufficient to overcome the coulomb repulsion of deuterium nuclei. In 1989 they claimed success in fusing deuterium nuclei to form helium 2. Their main evidence for this claim was excessheat which was orders of magnitude higher than could be explained by any known chemical reaction","Dash, J.",DashJinteractio.pdf,"Interaction of titanium with hydrogen isotopes, final progress report",U.S. Army Research Office,"2,001",,2016-04-22,"heat, titanium",,,,,,,,,,,
"1,007",T,http://lenr-canr.org/acrobat/DashJeffectsofg.pdf,"ABSTRACT Uranium foils were attached to the cathode of a glow discharge apparatus. A plasma of either hydrogen or deuterium ions was used to bombard the uranium. The rates of alpha, beta, and gamma radiation emissions were significantly greater for the bombarded uranium than for the original material.","Dash, J.; Savvatimova, I.; Frantz, S.; Weis, E.; Kozima, H.",DashJeffectsofg.pdf,Effects of Glow Discharge with Hydrogen Isotope Plasmas on Radioactivity of Uranium,"The 9th International Conference on Cold Fusion, Condensed Matter Nuclear Science","2,002",,2002-10-22,"glow discharge, radioactivity, gamma, transmutation",,,,,,,,,,,
"1,008",T,http://lenr-canr.org/acrobat/DashJchangesint.pdf,"ABSTRACT Hydrogen loading? of 99.98% pure natural uranium foils (0.18 mm thick) was performed by aqueous electrolysis in order to compare with glow discharge results. Alpha, beta, and gamma specific radioactivity were measured? after hydrogen loading and compared with the control. Some of the samples revealed an increase of the specific radioactivity of up to 20%. Gamma ray spectroscopy was also performed on the samples. Results reveal an increase of the specific counts for the peaks of Th234 and U235 and a decrease in the U Ka1 characteristic x-ray peak. The surface topography changed from granular before electrolysis to pitted afterward. The thorium concentration increased slightly after electrolysis compared with the original material. In summary, this work in progress reveals that loading hydrogen into uranium increases the uranium decay rate, in agreement with the glow discharge results.","Dash, J.; Chicea, D.",DashJchangesint.pdf,"Changes In The Radioactivity, Topography, And Surface Composition Of Uranium After Hydrogen Loading By Aqueous Electrolysis",Tenth International Conference on Cold Fusion,"2,003",,2003-09-18,"electrolysis, uranium, reduced radioactivity",,,,,,,,,,,
"1,010",T,http://lenr-canr.org/acrobat/DashJcodepositi.pdf,"ABSTRACT. Palladium was co-deposited with hydrogen isotopes on a Pd cathode. This resulted in enhanced production of excess thermal power. After electrolysis the Pd Lβ / Lα ratio was found to be increased in characteristic x-ray spectra from localized, microscopic areas on the surface of the Pd cathode. This suggests the possibility that appreciable amounts of silver are present in these areas.","Dash, J.; Ambadkar, A.",DashJcodepositi.pdf,Co-Deposition Of Palladium With Hydrogen Isotopes,Eleventh International Conference on Condensed Matter Nuclear Science,"2,004",,2005-05-04,"co-deposition, Pd, electrolysis, D2O, heat+, film",,,,,,,,,,,
"1,012",T,http://lenr-canr.org/acrobat/DashJsurfacestu.pdf,Surface studies of 40 μm thick Pd foils after electrolysis in D2O / H2SO4 electrolyte for six minutes found inversions in isotopic ratios. Anomalous isotopic ratios were also found on the surface of a 350 μm thick Pd foil after electrolysis in the same electrolyte for 74 hours.,"Dash, J.; Silver, D. S.",DashJsurfacestu.pdf,Surface Studies After Loading Metals With Hydrogen And/Or Deuterium,The 13th International Conference on Condensed Matter Nuclear Science,"2,007",,2007-09-26,"calorimeter, method",,,,,,,,,,,
"1,014",T,http://lenr-canr.org/acrobat/ViolanteVproceeding.pdf#page=82,"The presence of localized concentrations of anomalous elements (gold and silver)on the surfaces of palladium cathodes after electrolysis in either light water or heavy water electrolyte was first reported in 1994 [1]. Similarly, anomolous elements in surface pits were reported for titanium cathodes after electrolysis in heavy water electrolyte [2]. More recently, off-the-shelf battery fluid (Sp.G. 1.26) was substituted for analytical-grade H2SO4 (Sp.G. 1.84) in the electrolyte. Silver was found in localized concentrations on palladium cathodes after electrolysis. These results are consistent with a thermal neutron mechanism proposed previously [1].","Dash, J.; Wang, Q.",ViolanteVproceeding.pdf,Anomalous Silver on the Cathode Surface after Aqueous Electrolysis,15th International Conference on Condensed Matter Nuclear Science,"2,009",,2013-08-05,,82,85,,,,,,,,,
"1,015",T,http://lenr-canr.org/acrobat/BiberianJPjcondensedl.pdf#page=90,The microstructure of Pd and Ti foils was altered by cold rolling followed by heating at temperatures up to ~700??C. The surface topography and microchemical composition of these foils was studied before and after electrolysis with heavy water electrolyte. Temperature measurements during electrolysis showed that Ti and Pd cathodes which had been heated to ~700??C gave about 1W excess power relative to a control.,"Dash, J.; Solomon, J.",BiberianJPjcondensedl.pdf,Effect of Recrystallization on Heat Output and Surface Composition of Ti and Pd Cathodes,J. Condensed Matter Nucl. Sci.,"2,014",13,2014-10-27,excess heat,90,98,,,,,,,,,
"1,017",T,http://lenr-canr.org/acrobat/DavidFselfpolari.pdf,"Conventionally, the cold fusion reaction produces heat. The authors have sought a different approach, wherein the device has no input energy, relying on the energy produced by cold fusion in the device. The device consists of diodes fabricated as powder, with a large surface junction made up of a semiconductor in contact with palladium charged with deuterium.The apparent fusion reactions take place in the junction between the semiconductor and the Palladium powder, which produces an excitation which is transmitted to the electrons. This excitation increases their energy and allows them to cross the bandgap of the semiconductor and pass into the conduction band, as in a photovoltaic cell. This energy very quickly appears as a spontaneous potential difference which can reach over 0.5 volt per junction.The potential drop concentrates on the junction region, and at a nano scale the electric field reaches considerable values, higher than the megavolt per meter, which constrains the deuterium nuclei and increases the probability of deuterium fusion.","David, F.; Giles, J.",DavidFselfpolari.pdf,Self-Polarisation of Fusion Diodes: From Excess Energy to Energy,ICCF-14 International Conference on Condensed Matter Nuclear Science,"2,008",,2008-12-16,Excess heat,,,,,,,,,,,
"1,018",T,http://lenr-canr.org/acrobat/ViolanteVproceeding.pdf#page=173,"The authors discusses the results of the testing of a new fusion device : the ""Fusion Diode"".","David, F.; Giles, J.",ViolanteVproceeding.pdf,Self-Polarisation of Fusion Diodes: Nuclear Energy or Chemical Artefact?,15th International Conference on Condensed Matter Nuclear Science,"2,009",,2013-08-05,,173,175,,,,,,,,,
"1,020",T,http://lenr-canr.org/acrobat/BiberianJPjcondensedzd.pdf#page=58,"Since the first publication of Martin Fleischman and Stanley Pons in 1989, the majority of articles in the LENR field have focused on calorimetry. Many calorimetry experiments are masterpieces of science. Nevertheless, despite the experimental evidence, the results indicating excessive heat have not convinced the scientific community. For this purpose, we propose three relatively simple techniques: The ""Fusion Diode"" effect, the Reifenschweiler effect and a new postulated effect, not yet observed: the  magnetic alignment of the tritium pairs.","David, F.; Giles, J.",BiberianJPjcondensedzd.pdf,Alternatives to Calorimetry,J. Condensed Matter Nucl. Sci.,"2,020",31,2020-05-08,"Bose?Einstein condensate, Deuterium, Direct conversion, Fusion diode, Tritium",58,66,,,,,,,,,
"1,023",T,http://lenr-canr.org/acrobat/BiberianJPjcondensedr.pdf#page=54,"A recent and somewhat radical theoretical explanation for LENR is reviewed. It is based on variable mass theories of relativistic quantum mechanics that date back to the 1930s in works by Fock and Stueckelberg, and up to the present by many others. It explains a large number of observed anomalous effects in LENR by positing that nuclear rest-masses can vary in ""nuclear active environments"" in condensed matter settings. The varying masses modify the kinematic constraints of the nuclear reactions. It also offers a mechanism for enhancing electron screening and-or quantum tunneling rates, for allowing for resonant tunneling, and for modified radioactive decay rates by mass changes in the decaying isotopes.","Davidson, M.",BiberianJPjcondensedr.pdf,Off-mass-shell Particles and LENR,J. Condensed Matter Nucl. Sci.,"2,016",19,2016-12-19,"Horwitz-Piron, LENR, Nuclear anomalies, Stueckelberg, Variable mass",54,63,,,,,,,,,
"1,031",T,http://lenr-canr.org/acrobat/BiberianJPjcondensedt.pdf#page=31,"Proton conductors (PC) are metal oxides often used as solid electrolyte with hydrogen above 400 K, in which anomalous presence increase of several chemical elements and excess heat would have been obtained from near-surface locations. Near the surface of other metal oxides, closely spaced hydrogen at a distance of only 2 pm at least during a fraction of the time has been detected, and has been proposed to be in the form of hypothetical ultradense Rydberg matter H(0). How can H(0) form in PC near the cathode interface? Nanometric cavities (NC) were observed in the PC near their cathode interfaces. These NC would contain H2 precipitates with impurities, under a pressure of the order of 0.1 GPa. Since PC are crossed by a large flux of protons, a simple mechanism is proposed to increase the H2 pressure in these NC rapidly and temporarily well above the PC tensile strength. A second mechanism is then described to turn this H2 into a metallic-molecular state, form a Rydberg matter H(1) and then H(0) with a pressure decrease. In NC, the presence of impurities and the entry of the hydrogen atoms in the form of Rydberg atoms are proposed to decrease the pressure required to form metallic-molecular hydrogen. Finally, different experiments are proposed to test this research approach, particularly by transmission electron microscopy and Raman micro-spectroscopy.","de Guerville, F.",BiberianJPjcondensedt.pdf,"Proton Conductors: Nanometric Cavities, H2 Precipitates under Pressure, and Rydberg Matter Formation",J. Condensed Matter Nucl. Sci.,"2,016",21,2016-11-16,"H2 precipitates, Impurities, Large hydrogen flux, Nanometric cavities, Partial metallization of hydrogen, Pressure, Proton conductors, Rydberg states",31,44,,,,,,,,,
"1,032",T,http://lenr-canr.org/acrobat/NEDOthesixthin.pdf#page=160,"Since 1992 the ENEA Frascati Group has performed successful experiments aimed to measuring the excess heat produced in electrolytic cells with heavy water and a Palladium cathode. These experiments were characterized by a substantial lack of reproducibility. On the other side, it has become more and more clear that reaching, and possibly exceeding, a threshold in the amount of Deuterium absorbed in the lattice (usually called the DlPd ratio) is a necessary condition in order to produce excess heat (DlPd ~ 0.9 atomic). These considerations pushed the Group to concentrate its activity in the study of the connection between the Palladium characteristic parameters and the maximum reachable D/Pd ratio, by analysing and interpreting the relative absorption mechanisms. Mastering this aspect of the experiment should allow obtaining reproducibly high charging ratios, well above the quoted threshold, and thus hopefully reproducible production of heat excess.This has been done in the last year, with quite promising results, that will be reported in this paper.","De Marco, F.; De Ninno, A.; Frattolillo, A.; La Barbera, A.; Scaramuzzi, F.; Violante, V.",NEDOthesixthin.pdf,Progress Report on the Research Activities on Cold Fusion at ENEA Frascati,"Sixth International Conference on Cold Fusion, Progress in New Hydrogen Energy","1,996",1,2018-11-29,"heat+, Pd, D2O, electrolysis, stress, D/Pd, ICCF-6",160,168,,,,,,,,,
"1,037",T,http://lenr-canr.org/acrobat/SIFthescience.pdf#page=144,"The search for neutron emission due to the interaction between deuterium gas and titanium in non-equilibrium thermodynamic condit ions was first proposed by the Frascati Group of ENEA, and preliminary results, obtained in April 1989, were published. The same results, enriched with new data, were presented at the Santa Fe Workshop on Cold Fusion Phenomena in May and at the Workshop Understanding Cold Fusion Phenomena, held in Varenna in September 1989. These data, as well as all the others in the field, were characterized by lack of reproducibility.","De Ninno, A.; Scaramuzzi, F.; Frattolillo, A.; Migliori, S.; Lanza, F.; Scaglione, S.; Zeppa, P.; Pontorieri, C.",SIFthescience.pdf,The Production of Neutrons and Tritium in the Deuterium Gas-Titanium Interaction,"Second Annual Conference on Cold Fusion, ""The Science of Cold Fusion""","1,991",1,2018-11-16,"Ti, D2, neutron, tritium, ICCF-2, titanium",144,153,,,,,,,,,
"1,038",T,http://lenr-canr.org/acrobat/IkegamiHthirdinter.pdf#page=115,"The Pd-D system has been described assuming a two-population model. A ""quasi-plasma"" delocalized boson gas picture has been used for the deuterons exceeding the sto ichiometric ratio in Pd-D compounds.A mathematical model supported by a numerical computer code with distributed parameters has been developed in order to describe the evolution of the deuteron concentration profile inside a Pd cathode under pulsed electrolysis. Several boundary conditions have been taken into account.A strong correlation has been found between the model system evolution and the experimental data .","De Ninno, A.; Violante, V.",IkegamiHthirdinter.pdf,"""Quasi-Plasma"" Transport Model in Deuterium Overloaded Cathodes","Third International Conference on Cold Fusion, ""Frontiers of Cold Fusion""","1,992",1,2018-12-04,theory,115,120,,,,,,,,,
"1,040",T,http://lenr-canr.org/acrobat/NEDOthesixthin.pdf#page=207,"It has been extensively proved that a threshold in D/Pd concentration must be overcome to observe the heat excess production phenomenon. However, it is very difficult to obtain Pd samples with an high loading ratio in a reproducible way, then the actual reproducibility of the cold fusion experiments is critical.We will show that strong concentration gradients arise in the material during the loading procedure so that permanent deformation can be produced. Loading dynamic and metallurgical parameters will both affect strongly the ultimate loading ratio achievable.Thus a loading procedure has been sel~cted such as to avoid the anaelastic strains of the alpha-beta phase, and its consequence in terms of elastic parameters has been evaluated. We studied, both experimentally and theoretically, the influence of Pd microstructure and dislocations on the loading ratio in order to select the material that better matches the cold fusion experiments requirements.","De Ninno, A.; La Barbera, A.; Violante, V.",NEDOthesixthin.pdf,Selection of palladium metallurgical parameters to achieve very high loading rations,"Sixth International Conference on Cold Fusion, Progress in New Hydrogen Energy","1,996",1,2018-11-29,"loading, Pd, D2, preloading, ICCF-6, elecrolysis, D2O",207,212,,,,,,,,,
